epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.69747,0.98041,2.1308,3.98512,1.06568,0,0.00303,0.90909,0.00995,0.0088,0.00303,0.90909,0.00995,0.00855,0.52566,1.20235,3.37818,0.80169,0,0.00014,0.00014,0.00014
2,9.85177,0.89051,1.57147,3.10433,0.97806,0,0.00333,1,0.01045,0.00799,0.00333,1,0.01032,0.00867,0.75603,0.79314,3.16931,0.81852,0,0.00029703,0.00029703,0.00029703
3,13.3907,0.94472,1.51502,2.33902,0.99481,0,0.00333,1,0.00954,0.00815,0.00333,1,0.00954,0.00749,0.62531,1.13875,3.15613,0.81669,0,0.000450892,0.000450892,0.000450892
4,16.8857,0.9012,1.25012,1.85306,0.95012,0,0.00333,1,0.15564,0.13216,0.00333,1,0.15564,0.14085,0.68396,1.0181,2.96584,0.8055,0,0.000601586,0.000601586,0.000601586
5,20.3628,0.91574,1.39523,1.72943,0.95465,0,0.00333,1,0.80022,0.68943,0.00333,1,0.80022,0.70324,0.67514,0.91517,2.77889,0.81478,0,0.000749112,0.000749112,0.000749112
6,23.8824,0.88137,1.25761,1.52335,0.92556,0,0.00333,1,0.90587,0.71747,0.00333,1,0.90587,0.74958,0.68995,1.00132,2.55238,0.81148,0,0.00089347,0.00089347,0.00089347
7,27.6409,0.90553,1.29071,1.50361,0.94708,0,0.96,0.90909,0.90589,0.72992,0.96,0.90909,0.90589,0.80131,0.82758,0.9904,1.79498,0.86059,0,0.00103466,0.00103466,0.00103466
8,31.4388,0.83889,1.12658,1.33945,0.9286,0,1,0.82659,0.9061,0.71944,1,0.82659,0.9061,0.80558,0.73653,0.77366,1.99045,0.82864,0,0.00117268,0.00117268,0.00117268
9,35.0733,0.80742,1.08791,1.29068,0.91653,0,0.08874,0.72727,0.08044,0.06561,0.08874,0.72727,0.08044,0.06702,0.68883,0.91369,4.80369,0.82251,0,0.00130754,0.00130754,0.00130754
10,38.9233,0.91598,1.32132,1.33848,0.94688,0,1,0.89609,0.94804,0.75237,1,0.89609,0.94804,0.84357,0.79342,0.74212,1.37483,0.82824,0,0.00143922,0.00143922,0.00143922
11,42.694,0.8565,1.28369,1.20217,0.92009,0,1,0.89072,0.91392,0.76027,1,0.89072,0.91392,0.77579,0.73699,0.78533,1.45253,0.81209,0,0.00156774,0.00156774,0.00156774
12,46.3384,0.8358,1.08293,1.22422,0.91603,0,1,0.86898,0.91286,0.757,1,0.86898,0.91286,0.79196,0.71505,0.89366,1.41036,0.82346,0,0.00169309,0.00169309,0.00169309
13,49.8383,0.8858,1.18173,1.24059,0.94211,0,0.98816,0.90909,0.91935,0.78515,0.98816,0.90909,0.91935,0.79423,0.66515,0.95473,1.0163,0.81597,0,0.0017624,0.0017624,0.0017624
14,53.4018,0.81164,1.20808,1.1076,0.91736,0,0.99071,0.90909,0.96324,0.76409,0.99071,0.90909,0.96324,0.80169,0.65949,1.10489,1.03603,0.82082,0,0.0017426,0.0017426,0.0017426
15,56.984,0.87791,1.25372,1.18504,0.94482,0,0.99289,0.90909,0.98115,0.82662,0.99289,0.90909,0.98115,0.82033,0.63658,0.74069,0.75231,0.80406,0,0.0017228,0.0017228,0.0017228
16,60.6186,0.83914,1.09996,1.05337,0.92369,0,0.99241,0.90909,0.97571,0.83033,0.99241,0.90909,0.97571,0.83501,0.58879,0.8088,0.79213,0.81603,0,0.001703,0.001703,0.001703
17,64.252,0.81158,1.06752,1.03387,0.91591,0,0.99154,0.90909,0.96687,0.76824,0.99154,0.90909,0.96687,0.83406,0.67295,0.6475,0.84029,0.83116,0,0.0016832,0.0016832,0.0016832
18,67.7872,0.77593,1.04447,1.00433,0.8837,0,0.99481,0.90909,0.971,0.77741,0.99481,0.90909,0.971,0.7896,0.715,0.63109,0.82316,0.82676,0,0.0016634,0.0016634,0.0016634
19,71.451,0.7668,1.01023,0.92968,0.87739,0,0.99536,0.90909,0.9875,0.83789,0.99536,0.90909,0.9875,0.85791,0.63212,0.69268,0.63965,0.79594,0,0.0016436,0.0016436,0.0016436
20,74.9819,0.78844,1.15027,0.96925,0.88479,0,0.99458,0.90909,0.971,0.81843,0.99458,0.90909,0.971,0.86247,0.71338,0.60886,0.72655,0.80945,0,0.0016238,0.0016238,0.0016238
21,78.6887,0.80508,1.17198,0.92973,0.89852,0,0.9955,0.90909,0.96324,0.79148,0.9955,0.90909,0.96324,0.8128,0.68135,0.62355,0.64801,0.81453,0,0.001604,0.001604,0.001604
22,82.3098,0.75986,1.04883,0.88183,0.89313,0,1,0.90442,0.95214,0.84283,1,0.90442,0.95214,0.80419,0.60355,0.73761,0.67064,0.80346,0,0.0015842,0.0015842,0.0015842
23,85.9782,0.79029,1.19336,0.90767,0.91763,0,1,0.90557,0.96,0.7722,1,0.90557,0.96,0.80891,0.74242,0.64858,0.72375,0.80211,0,0.0015644,0.0015644,0.0015644
24,89.7466,0.77191,1.18016,0.85482,0.88337,0,0.99809,0.90909,0.98115,0.86165,0.99809,0.90909,0.98115,0.87428,0.58341,0.55381,0.61858,0.78205,0,0.0015446,0.0015446,0.0015446
25,93.3721,0.72825,1.00614,0.80512,0.87868,0,0.99355,0.90909,0.971,0.87587,0.99355,0.90909,0.971,0.81713,0.55533,0.66452,0.6167,0.7864,0,0.0015248,0.0015248,0.0015248
26,96.9016,0.74614,0.97496,0.79958,0.89408,0,1,0.99559,0.995,0.89318,1,0.99559,0.995,0.84823,0.54423,0.53006,0.56587,0.7725,0,0.001505,0.001505,0.001505
27,100.552,0.80152,1.12795,0.83295,0.92321,0,1,0.99697,0.995,0.85781,1,0.99697,0.995,0.85349,0.61688,0.53946,0.56496,0.78347,0,0.0014852,0.0014852,0.0014852
28,104.416,0.7151,1.03739,0.74785,0.87248,0,1,0.99725,0.995,0.84165,1,0.99725,0.995,0.81107,0.70863,0.55716,0.55908,0.79403,0,0.0014654,0.0014654,0.0014654
29,107.647,0.76883,1.0388,0.81244,0.88408,0,1,0.99737,0.995,0.85411,1,0.99737,0.995,0.851,0.70244,0.55694,0.61151,0.79951,0,0.0014456,0.0014456,0.0014456
30,110.545,0.77246,1.00304,0.78035,0.88592,0,1,0.99961,0.995,0.9005,1,0.99961,0.995,0.879,0.6482,0.5396,0.62673,0.79356,0,0.0014258,0.0014258,0.0014258
31,113.604,0.78859,1.10104,0.82353,0.9092,0,0.99762,1,0.995,0.88255,0.99762,1,0.995,0.86754,0.55051,0.53772,0.54346,0.785,0,0.001406,0.001406,0.001406
32,116.606,0.75073,1.14717,0.77775,0.89673,0,0.99813,1,0.995,0.88346,0.99813,1,0.995,0.835,0.58627,0.59486,0.53524,0.80325,0,0.0013862,0.0013862,0.0013862
33,119.675,0.66216,0.92826,0.75477,0.87774,0,0.99599,1,0.995,0.91027,0.99599,1,0.995,0.86643,0.55026,0.61293,0.54887,0.79099,0,0.0013664,0.0013664,0.0013664
34,122.581,0.73169,1.03936,0.74739,0.89923,0,0.9965,1,0.995,0.88652,0.9965,1,0.995,0.82981,0.51707,0.58581,0.49099,0.80711,0,0.0013466,0.0013466,0.0013466
35,125.432,0.74405,0.9989,0.73408,0.89587,0,0.99654,1,0.995,0.89379,0.99654,1,0.995,0.82183,0.5603,0.56833,0.55927,0.81902,0,0.0013268,0.0013268,0.0013268
36,129.215,0.72062,0.91227,0.73537,0.8841,0,0.99961,1,0.995,0.90467,0.99961,1,0.995,0.8595,0.49261,0.60779,0.49711,0.78842,0,0.001307,0.001307,0.001307
37,133.454,0.69919,1.05647,0.70732,0.88195,0,1,0.99796,0.995,0.88215,1,0.99796,0.995,0.86097,0.54672,0.56268,0.48681,0.78351,0,0.0012872,0.0012872,0.0012872
38,137.571,0.70468,0.98014,0.68663,0.88611,0,1,0.99982,0.995,0.86789,1,0.99982,0.995,0.86067,0.54591,0.51566,0.49166,0.78354,0,0.0012674,0.0012674,0.0012674
39,141.573,0.73505,1.05481,0.70328,0.89,0,0.99723,1,0.995,0.8897,0.99723,1,0.995,0.85501,0.60877,0.51586,0.4525,0.78791,0,0.0012476,0.0012476,0.0012476
40,144.939,0.73681,0.9702,0.66523,0.88514,0,0.99691,1,0.995,0.89113,0.99691,1,0.995,0.84276,0.57475,0.53259,0.43824,0.79822,0,0.0012278,0.0012278,0.0012278
41,147.827,0.66287,0.89277,0.61722,0.8641,0,0.99747,1,0.995,0.89425,0.99747,1,0.995,0.85801,0.50731,0.51799,0.46012,0.80256,0,0.001208,0.001208,0.001208
42,150.675,0.66488,0.82149,0.61965,0.86322,0,1,0.99828,0.995,0.929,1,0.99828,0.995,0.8766,0.53278,0.54261,0.56818,0.80256,0,0.0011882,0.0011882,0.0011882
43,153.652,0.67557,0.92865,0.6447,0.88074,0,1,0.99705,0.995,0.91375,1,0.99705,0.995,0.8595,0.52978,0.57027,0.50212,0.79952,0,0.0011684,0.0011684,0.0011684
44,156.493,0.69759,0.92674,0.63581,0.88065,0,1,0.99848,0.995,0.92368,1,0.99848,0.995,0.87252,0.4636,0.5457,0.45573,0.7848,0,0.0011486,0.0011486,0.0011486
45,159.837,0.72378,0.96692,0.64556,0.88533,0,1,0.99719,0.995,0.89867,1,0.99719,0.995,0.864,0.48056,0.53437,0.43764,0.78826,0,0.0011288,0.0011288,0.0011288
46,162.981,0.66436,0.93108,0.62687,0.87139,0,1,0.99777,0.995,0.9113,1,0.99777,0.995,0.86107,0.4825,0.50773,0.43166,0.78739,0,0.001109,0.001109,0.001109
47,165.948,0.73055,0.94848,0.65111,0.89468,0,0.99872,1,0.995,0.92513,0.99872,1,0.995,0.87212,0.47137,0.52188,0.42968,0.77863,0,0.0010892,0.0010892,0.0010892
48,168.778,0.66678,0.81765,0.59772,0.87182,0,0.99634,1,0.995,0.89783,0.99634,1,0.995,0.84531,0.53236,0.51966,0.41328,0.78724,0,0.0010694,0.0010694,0.0010694
49,171.849,0.7122,1.03121,0.64668,0.88141,0,0.99563,1,0.995,0.88245,0.99563,1,0.995,0.85204,0.54717,0.49704,0.39116,0.78349,0,0.0010496,0.0010496,0.0010496
50,174.937,0.69215,0.9692,0.62849,0.86962,0,0.9948,1,0.995,0.8825,0.9948,1,0.995,0.82654,0.50656,0.50764,0.39816,0.77407,0,0.0010298,0.0010298,0.0010298
51,177.925,0.65163,0.83363,0.56014,0.86598,0,0.99494,1,0.995,0.92327,0.99494,1,0.995,0.85111,0.44276,0.51724,0.35277,0.76836,0,0.00101,0.00101,0.00101
52,181.152,0.67301,0.90746,0.58507,0.85897,0,0.99553,1,0.995,0.86337,0.99553,1,0.995,0.85081,0.49545,0.5078,0.39569,0.77279,0,0.0009902,0.0009902,0.0009902
53,184.467,0.67145,0.90675,0.6111,0.87565,0,0.99596,1,0.995,0.8801,0.99596,1,0.995,0.85413,0.55905,0.51573,0.40601,0.78269,0,0.0009704,0.0009704,0.0009704
54,187.604,0.69668,0.97087,0.58446,0.88229,0,0.99647,1,0.995,0.91375,0.99647,1,0.995,0.88526,0.52751,0.51179,0.37253,0.78085,0,0.0009506,0.0009506,0.0009506
55,190.79,0.67782,0.92136,0.60638,0.8805,0,0.99732,1,0.995,0.92214,0.99732,1,0.995,0.89418,0.46275,0.49324,0.35938,0.77667,0,0.0009308,0.0009308,0.0009308
56,194.533,0.63209,0.86299,0.53966,0.85106,0,0.99707,1,0.995,0.88295,0.99707,1,0.995,0.88568,0.43443,0.49458,0.37183,0.77914,0,0.000911,0.000911,0.000911
57,198.108,0.64407,0.83549,0.55308,0.8555,0,0.999,1,0.995,0.89518,0.999,1,0.995,0.8475,0.48485,0.47696,0.40446,0.78465,0,0.0008912,0.0008912,0.0008912
58,201.644,0.62724,0.88313,0.55323,0.85112,0,1,0.99908,0.995,0.9185,1,0.99908,0.995,0.84058,0.45051,0.47849,0.38422,0.77483,0,0.0008714,0.0008714,0.0008714
59,205.518,0.64283,0.81515,0.54708,0.86239,0,0.99881,1,0.995,0.89951,0.99881,1,0.995,0.90886,0.42651,0.45234,0.38497,0.77278,0,0.0008516,0.0008516,0.0008516
60,209.041,0.66907,0.92949,0.56475,0.86236,0,1,0.99844,0.995,0.903,1,0.99844,0.995,0.8779,0.46188,0.45067,0.40407,0.77838,0,0.0008318,0.0008318,0.0008318
61,212.72,0.66655,0.97504,0.58849,0.86784,0,0.9997,1,0.995,0.90467,0.9997,1,0.995,0.86942,0.48352,0.48706,0.38725,0.77629,0,0.000812,0.000812,0.000812
62,216.219,0.64342,0.8698,0.56136,0.85033,0,0.99851,1,0.995,0.90467,0.99851,1,0.995,0.87685,0.46547,0.53638,0.37699,0.77378,0,0.0007922,0.0007922,0.0007922
63,219.804,0.64304,0.88377,0.54113,0.85516,0,0.99683,1,0.995,0.903,0.99683,1,0.995,0.8715,0.47756,0.51225,0.3735,0.77625,0,0.0007724,0.0007724,0.0007724
64,223.399,0.61377,0.96962,0.53395,0.85543,0,0.99611,1,0.995,0.91007,0.99611,1,0.995,0.86328,0.48502,0.48298,0.36635,0.77606,0,0.0007526,0.0007526,0.0007526
65,226.741,0.65348,0.83008,0.52595,0.85593,0,0.99559,1,0.995,0.89645,0.99559,1,0.995,0.8766,0.48131,0.49003,0.36529,0.77688,0,0.0007328,0.0007328,0.0007328
66,230.287,0.64887,0.88612,0.54724,0.86159,0,0.99528,1,0.995,0.8992,0.99528,1,0.995,0.85717,0.49259,0.48988,0.36809,0.77887,0,0.000713,0.000713,0.000713
67,233.884,0.64284,0.84982,0.52444,0.85439,0,0.99555,1,0.995,0.9137,0.99555,1,0.995,0.85312,0.49435,0.52199,0.34982,0.77819,0,0.0006932,0.0006932,0.0006932
68,237.376,0.61093,0.88758,0.53595,0.84916,0,0.9954,1,0.995,0.91053,0.9954,1,0.995,0.84262,0.44935,0.51091,0.33497,0.77641,0,0.0006734,0.0006734,0.0006734
69,240.989,0.66947,0.85433,0.51864,0.86789,0,0.99478,1,0.995,0.898,0.99478,1,0.995,0.85304,0.41014,0.50406,0.32192,0.77449,0,0.0006536,0.0006536,0.0006536
70,244.565,0.64572,0.85948,0.50594,0.85207,0,0.9951,1,0.995,0.91225,0.9951,1,0.995,0.86569,0.40696,0.52368,0.31193,0.77366,0,0.0006338,0.0006338,0.0006338
71,248.281,0.65968,0.99782,0.55269,0.87763,0,0.99533,1,0.995,0.90925,0.99533,1,0.995,0.85506,0.45201,0.53382,0.32572,0.77431,0,0.000614,0.000614,0.000614
72,251.798,0.65438,0.86925,0.55364,0.86368,0,0.9947,1,0.995,0.90375,0.9947,1,0.995,0.854,0.40446,0.48365,0.29777,0.77251,0,0.0005942,0.0005942,0.0005942
