epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,62.4616,0.43839,0.30866,0.5329,0.80655,0,0.99278,1,0.995,0.88136,0.99278,1,0.995,0.88103,0.53748,0.5849,0.50865,0.7917,0,0.0014258,0.0014258,0.0014258
31,64.3408,0.44207,0.35254,0.55662,0.8126,0,0.9936,1,0.995,0.87665,0.9936,1,0.995,0.88013,0.51225,0.60789,0.57525,0.79136,0,0.001406,0.001406,0.001406
32,66.2099,0.46441,0.34871,0.54539,0.82515,0,0.99469,1,0.995,0.89973,0.99469,1,0.995,0.8572,0.47876,0.63016,0.50115,0.78287,0,0.0013862,0.0013862,0.0013862
33,68.0772,0.44234,0.35063,0.50892,0.82261,0,0.99482,1,0.995,0.90565,0.99482,1,0.995,0.85654,0.46539,0.506,0.43674,0.77411,0,0.0013664,0.0013664,0.0013664
34,69.9552,0.40752,0.32068,0.49705,0.79303,0,0.99548,1,0.995,0.89573,0.99548,1,0.995,0.83623,0.50129,0.51219,0.43378,0.78556,0,0.0013466,0.0013466,0.0013466
35,71.8433,0.45215,0.3437,0.48817,0.80864,0,0.99538,1,0.995,0.89714,0.99538,1,0.995,0.85737,0.4729,0.53044,0.4245,0.78532,0,0.0013268,0.0013268,0.0013268
36,73.8305,0.4315,0.30116,0.46538,0.79437,0,0.99443,1,0.995,0.89191,0.99443,1,0.995,0.87101,0.51432,0.51158,0.45253,0.78431,0,0.001307,0.001307,0.001307
37,75.896,0.41444,0.33845,0.46669,0.80745,0,0.99457,1,0.995,0.89791,0.99457,1,0.995,0.86214,0.47926,0.51022,0.44137,0.77789,0,0.0012872,0.0012872,0.0012872
38,77.9333,0.42784,0.34652,0.45559,0.80198,0,0.99516,1,0.995,0.88341,0.99516,1,0.995,0.84675,0.51122,0.53094,0.42877,0.78597,0,0.0012674,0.0012674,0.0012674
39,79.8633,0.41873,0.30681,0.45584,0.80371,0,0.99529,1,0.995,0.9005,0.99529,1,0.995,0.85907,0.51799,0.55255,0.43628,0.78729,0,0.0012476,0.0012476,0.0012476
